##########
#=Mode Mon Dec 19 09:47:31 2016

#!SUBSYSTEM: k500gid25s
#!CREATE-TIME: 1482115651 Mon Dec 19 09:47:31 2016
#!COMMENT: zzzzzzzzzzzzz

@d:(gid25x4.matrix.G5L1_Uset)v2k-k500-1:23.G5L1.Uset    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L1_Umes)v2k-k500-1:23.G5L1.Umes_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L1_Uuvh)v2k-k500-1:23.G5L1.Uuvh_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L1_Imes)v2k-k500-1:23.G5L1.Imes    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L1_onoff)v2k-k500-1:23.G5L1.onoff    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L1_err)v2k-k500-1:23.G5L1.err    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L1_ena_gid)v2k-k500-1:23.G5L1.ena_gid    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L1_Dly_gid)v2k-k500-1:23.G5L1.Dly_gid    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L1_ena_vsdc)v2k-k500-1:23.G5L1.ena_vsdc    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L1_Dly_vsdc)v2k-k500-1:23.G5L1.Dly_vsdc    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L2_Uset)v2k-k500-1:23.G5L2.Uset    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L2_Umes)v2k-k500-1:23.G5L2.Umes_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L2_Uuvh)v2k-k500-1:23.G5L2.Uuvh_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L2_Imes)v2k-k500-1:23.G5L2.Imes    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L2_onoff)v2k-k500-1:23.G5L2.onoff    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L2_err)v2k-k500-1:23.G5L2.err    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L2_ena_gid)v2k-k500-1:23.G5L2.ena_gid    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L2_Dly_gid)v2k-k500-1:23.G5L2.Dly_gid    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L2_ena_vsdc)v2k-k500-1:23.G5L2.ena_vsdc    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L2_Dly_vsdc)v2k-k500-1:23.G5L2.Dly_vsdc    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L3_Uset)v2k-k500-1:23.G5L3.Uset    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L3_Umes)v2k-k500-1:23.G5L3.Umes_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L3_Uuvh)v2k-k500-1:23.G5L3.Uuvh_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L3_Imes)v2k-k500-1:23.G5L3.Imes    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L3_onoff)v2k-k500-1:23.G5L3.onoff    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L3_err)v2k-k500-1:23.G5L3.err    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L3_ena_gid)v2k-k500-1:23.G5L3.ena_gid    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L3_Dly_gid)v2k-k500-1:23.G5L3.Dly_gid    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L3_ena_vsdc)v2k-k500-1:23.G5L3.ena_vsdc    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L3_Dly_vsdc)v2k-k500-1:23.G5L3.Dly_vsdc    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L4_Uset)v2k-k500-1:23.G5L4.Uset    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L4_Umes)v2k-k500-1:23.G5L4.Umes_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L4_Uuvh)v2k-k500-1:23.G5L4.Uuvh_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L4_Imes)v2k-k500-1:23.G5L4.Imes    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L4_onoff)v2k-k500-1:23.G5L4.onoff    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L4_err)v2k-k500-1:23.G5L4.err    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L4_ena_gid)v2k-k500-1:23.G5L4.ena_gid    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L4_Dly_gid)v2k-k500-1:23.G5L4.Dly_gid    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L4_ena_vsdc)v2k-k500-1:23.G5L4.ena_vsdc    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L4_Dly_vsdc)v2k-k500-1:23.G5L4.Dly_vsdc    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L5_Uset)v2k-k500-1:23.G5L5.Uset    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L5_Umes)v2k-k500-1:23.G5L5.Umes_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L5_Uuvh)v2k-k500-1:23.G5L5.Uuvh_raw    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L5_Imes)v2k-k500-1:23.G5L5.Imes    0.00 @1.000000 <>
@d:(gid25x4.matrix.G5L5_onoff)v2k-k500-1:23.G5L5.onoff    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L5_err)v2k-k500-1:23.G5L5.err    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L5_ena_gid)v2k-k500-1:23.G5L5.ena_gid    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L5_Dly_gid)v2k-k500-1:23.G5L5.Dly_gid    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L5_ena_vsdc)v2k-k500-1:23.G5L5.ena_vsdc    0.000 @1.000000 <>
@d:(gid25x4.matrix.G5L5_Dly_vsdc)v2k-k500-1:23.G5L5.Dly_vsdc    0.0 @1.000000 <>
@d:(gid25x4.matrix.G5L6_Uset)v2k-k500-1:23.G5L6.Uset    0.00 @1.000000 <>
